,PPG_Rate
1197,103.06868478085917
1198,100.24176186997663
1199,97.43509073031687
1200,94.66790366033132
1201,91.95594825151778
1202,89.31182940020184
1203,86.74537155506006
1204,84.26398079481004
1205,81.87299237063117
1206,79.57599436295035
1207,77.37512206312554
1208,75.27132067601919
1209,73.26457608362044
1210,71.35411486605102
1211,69.5385756942759
1212,67.81615472251843
1213,66.18472783036616
1214,64.64195258530592
1215,63.18535268587957
1216,61.812387456052925
1217,60.520508730492836
1218,59.30720722460129
1219,58.17005024002351
1220,57.1067123271801
1221,56.11500031784636
1222,55.19287395642079
1223,54.338463199719335
1224,53.5500831220513
1225,52.82624725444483
1226,52.16568010341206
1227,51.56732953487547
1228,51.03037967244669
1229,50.55426494634034
1230,50.13868594076194
1231,49.78362772556683
1232,49.489381425560815
1233,49.256569882863154
1234,49.086178411301184
1235,48.97959183673469
1236,48.90668520256673
1237,48.83614673970335
1238,48.76790764652337
1239,48.70190038367374
1240,48.63805861383047
1241,48.57631714405618
1242,48.516611870638904
1243,48.458879726303195
1244,48.40305862969201
1245,48.34908743702416
1246,48.29690589583747
1247,48.24645460073439
1248,48.19767495105127
1249,48.15050911037775
1250,48.10489996785748
1251,48.06079110120582
1252,48.01812674138379
1253,47.97685173887219
1254,47.93691153149291
1255,47.89825211372801
1256,47.86082000749058
1257,47.824562234304054
1258,47.78942628885011
1259,47.75536011384715
1260,47.72231207622479
1261,47.69023094456138
1262,47.65906586775433
1263,47.62876635489478
1264,47.599282256320365
1265,47.570563745821325
1266,47.542561303977266
1267,47.51522570260314
1268,47.48850799028477
1269,47.46235947898526
1270,47.436731731705294
1271,47.41157655118108
1272,47.386845969605034
1273,47.36249223935511
1274,47.33846782471961
1275,47.314725394604906
1276,47.2912178162146
1277,47.267898149688776
1278,47.244719643692655
1279,47.22163573194469
1280,47.19860003067401
1281,47.17556633699769
1282,47.15248862820862
1283,47.12932106196433
1284,47.106017977367806
1285,47.08253389693106
1286,47.05882352941177
1287,47.03489458873185
1288,47.01080248099913
1289,46.98657351783588
1290,46.962233906697875
1291,46.93780974963604
1292,46.91332704235289
1293,46.88881167355077
1294,46.86428942456897
1295,46.83978596930639
1296,46.81532687442681
1297,46.79093759984368
1298,46.76664349948126
1299,46.742469822309275
1300,46.71844171364781
1301,46.69458421673986
1302,46.670922274588506
1303,46.64748073205579
1304,46.62428433822107
1305,46.6013577489958
1306,46.5787255299926
1307,46.55641215964614
1308,46.534442032583726
1309,46.51283946324353
1310,46.49162868973851
1311,46.4708338779645
1312,46.450479125950636
1313,46.43058846845118
1314,46.41118588177707
1315,46.39229528886685
1316,46.3739405645957
1317,46.35614554132245
1318,46.33893401467428
1319,46.32232974956874
1320,46.306356486473916
1321,46.29103794790678
1322,46.27639784517066
1323,46.26245988533305
1324,46.24924777844487
1325,46.236785245003155
1326,46.22509602365886
1327,46.214203879172494
1328,46.204132610619794
1329,46.19490605985094
1330,46.186548120206396
1331,46.17908274549322
1332,46.17253395922619
1333,46.166925864138
1334,46.162282651963885
1335,46.15862861350583
1336,46.155988148982395
1337,46.154385778670544
1338,46.15384615384615
1339,46.23355470998722
1340,46.46647098667871
1341,46.84525757209315
1342,47.36478711162255
1343,48.021700768568884
1344,48.81404174573055
1345,49.740932642487046
1346,50.80227104418662
1347,51.998420844848006
1348,53.32987820678932
1349,54.79689138140487
1350,56.399013428336524
1351,58.13456683321269
1352,60.00000000000001
1353,61.9891187710612
1354,64.0921831205232
1355,66.29487205299081
1356,68.57714095301567
1357,70.91202756541402
1358,73.26450694197224
1359,75.59055118110237
1360,77.83661119515887
1361,79.93979267315677
