unix time ms,samples
1760398684096,61417414
1760398684136,60943766
1760398684176,60938393
1760398684216,61273461
1760398684256,61586575
1760398684296,61810740
1760398684336,61892750
1760398684376,61879413
1760398684416,61830605
1760398684456,61785412
1760398684496,61647525
1760398684536,61544566
1760398684576,61500559
1760398684616,61442642
1760398684655,61328144
1760398684695,61119153
1760398684735,60887285
1760398684775,60789780
1760398684815,60712320
1760398684855,60700781
1760398684895,60665540
1760398684935,60562632
1760398684975,60487170
1760398685015,60369057
1760398685055,60270457
1760398685095,60207770
1760398685136,60177832
1760398685176,60169718
1760398685216,60168703
1760398685256,60069229
1760398685296,59865351
1760398685336,59734915
1760398685376,59695015
1760398685416,59752209
1760398685456,59879742
1760398685496,59932627
1760398685536,59842433
1760398685576,59913847
1760398685615,59945713
1760398685655,59968942
1760398685695,60086965
1760398685735,60148146
1760398685775,60109983
1760398685815,59968480
1760398685855,59354243
1760398685895,60440160
1760398685935,61141509
1760398685975,61992485
1760398686015,62213537
1760398686055,61661012
1760398686095,61137100
1760398686135,60162969
1760398686175,60087256
1760398686215,60077113
1760398686255,60772265
1760398686295,62188389
1760398686335,62489342
1760398686375,62405354
1760398686415,62336450
1760398686455,62189102
1760398686495,62134379
1760398686535,62100806
1760398686574,61692747
1760398686614,61093122
1760398686654,60417574
1760398686694,60489731
1760398686734,60668553
1760398686774,60928059
1760398686814,61210894
1760398686854,61338086
1760398686894,61526148
1760398686934,62031471
1760398686974,60968491
1760398687014,60775409
1760398687055,60674057
1760398687095,60465980
1760398687135,60816002
1760398687175,61184150
1760398687215,61617085
1760398687255,62100073
1760398687295,62305348
1760398687335,62276947
1760398687375,62160792
1760398687415,62438987
1760398687455,62438415
1760398687495,62347799
1760398687590,2921060
1760398687629,2975369
1760398687668,2985931
1760398687707,2987052
1760398687746,1550226
1760398687785,1481192
1760398687824,1430555
1760398687863,1404550
1760398687902,1384575
1760398687942,1383290
1760398687981,1379288
1760398688020,1362436
1760398688059,1367991
1760398688098,1404666
1760398688137,1423764
1760398688176,1411745
1760398688215,1433552
1760398688254,1476130
1760398688293,1504843
1760398688332,1537395
1760398688371,1574150
1760398688410,1622914
1760398688449,1666332
1760398688488,1699414
1760398688527,1697460
1760398688567,1683452
1760398688606,1671810
1760398688645,1645163
1760398688684,1641541
1760398688723,1697131
1760398688762,1643072
1760398688801,1575137
1760398688840,1554156
1760398688879,1544701
1760398688918,1546351
1760398688957,1533322
1760398689103,61778764
1760398689143,61795124
1760398689183,61816485
1760398689223,61786497
1760398689263,61726602
1760398689303,61670392
1760398689343,61624356
1760398689383,61335023
1760398689423,60596787
1760398689463,60133413
1760398689503,59920586
1760398689543,59754539
1760398689582,59547135
1760398689622,59479778
1760398689662,59723567
1760398689702,60254439
1760398689742,60478021
1760398689782,59959472
1760398689822,59544001
1760398689862,59451748
1760398689902,59414801
1760398689942,59406435
1760398689982,59402237
1760398690022,59378376
1760398690061,59376980
1760398690101,59568636
1760398690141,60292009
1760398690181,60887717
1760398690221,61049255
1760398690261,61262464
1760398690301,61370504
1760398690341,61430972
1760398690381,61349666
1760398690421,61253787
1760398690461,61005630
1760398690501,60763367
1760398690541,60691702
1760398690581,60345075
1760398690621,59776994
1760398690661,59735046
1760398690701,60056957
1760398690741,60629286
1760398690781,60877755
1760398690821,60958428
1760398690861,60976395
1760398690901,61007879
1760398690941,60980282
1760398690981,60909952
1760398691021,60959995
1760398691061,60897398
1760398691101,60896012
1760398691141,60785783
1760398691181,60413135
1760398691221,59468088
1760398691261,59287719
1760398691301,59492381
1760398691341,60055009
1760398691381,60463921
1760398691421,60639630
1760398691461,60905292
1760398691501,61056868
1760398691541,60832833
1760398691581,60141628
1760398691621,59802533
1760398691661,59540597
1760398691701,59583008
1760398691741,59619764
1760398691781,59467204
1760398691821,59285570
1760398691861,59177108
1760398691901,59210601
1760398691941,59317557
1760398691980,59359164
1760398692020,59379320
1760398692060,59195828
1760398692100,59003890
1760398692140,58886389
1760398692180,59097248
1760398692220,59236330
1760398692260,59388921
1760398692300,59559256
1760398692340,59572282
1760398692380,59491849
1760398692420,59457543
1760398692460,59339329
1760398692500,59220051
1760398692540,59193217
1760398692580,59205529
1760398692620,59009363
1760398692660,58758103
1760398692700,58788251
1760398692740,58963699
1760398692780,59065051
1760398692820,59163018
1760398692860,59290813
1760398692900,59426541
1760398692940,59557710
1760398692980,59700066
1760398693020,59830663
1760398693060,59910523
1760398693100,59906094
1760398693140,59866948
1760398693180,59805747
1760398693220,59708201
1760398693260,59621391
1760398693300,59534059
1760398693340,59370442
1760398693380,59101355
1760398693420,58738810
1760398693460,58481695
1760398693500,58460384
1760398693540,58569469
1760398693580,58940128
1760398693620,59512286
1760398693660,60082456
1760398693700,60502385
1760398693740,60887587
1760398693780,61113449
1760398693820,61194956
1760398693860,61222313
1760398693899,61249860
1760398693939,61280461
1760398693979,61283052
1760398694019,61295746
1760398694059,61276664
1760398694099,61234625
1760398694139,61259803
1760398694179,61315831
1760398694219,61376008
1760398694259,61413407
1760398694299,61429556
1760398694339,61458991
1760398694379,61468904
1760398694419,61417304
1760398694459,61330454
1760398694499,61351855
1760398694539,61417635
1760398694579,61564903
1760398694619,61686862
1760398694659,61760747
1760398694699,61823786
1760398694739,61853553
1760398694779,61874743
1760398694819,61911459
1760398694859,61962939
1760398694899,62035759
1760398694939,62164056
1760398694979,62329762
1760398695019,62411088
1760398695059,62314517
1760398695099,61346673
1760398695139,60947522
1760398695179,60304914
1760398695219,60727223
1760398695259,59836578
1760398695299,60128341
1760398695339,60511143
1760398695379,60287680
1760398695419,60508511
1760398695459,60109210
1760398695499,60629416
1760398695539,60911850
